poi_id,poi_tier,baseline_total_visits,optimized_total_visits,delta_visits,delta_visits_pct,positive_increment_received,removed_flow,net_flow_change,n_active_links_before,n_active_links_after,delta_active_links,n_new_positive_links,n_removed_positive_links,n_retained_positive_links,spse_contribution_before,spse_contribution_after,delta_spse_contribution,spse_from_new_links,spse_lost_from_removed_links,spse_change_on_retained_links,mean_delta_structural_social_exposure_per_visiting_cbg,mean_delta_structural_social_exposure_per_baseline_visiting_cbg,mean_delta_structural_social_exposure_per_union_visiting_cbg,weighted_contribution_before,weighted_contribution_after,delta_weighted_contribution,weighted_added_contribution,weighted_removed_contribution,flow_weighted_exposure_before,flow_weighted_exposure_after,delta_flow_weighted_exposure,added_origin_income_score,baseline_origin_income_score,optimized_origin_income_score,delta_origin_income_score,flow_weighted_distance_before,flow_weighted_distance_after,delta_flow_weighted_distance_km,delta_exposure_field_all_cbgs,mean_delta_exposure_field_all_cbgs,delta_exposure_field_active_union,mean_delta_exposure_field_active_union
222-222@62j-srj-tgk,Middle 40% baseline-flow POIs,110.0,107.0,-3.0,-2.727272727272727,13.0,16.0,-3.0,25,29,4,4,0,25,15.213825652141175,17.71330136414202,2.4994757120008444,2.3870862434682207,0.0,0.11238946853262477,0.08618881765520153,0.09997902848003377,0.08618881765520153,67.17078121286235,66.27300823963458,-0.8977729732277737,7.921151066451724,9.219099158687008,0.6106434655714761,0.6193739087816316,0.00873044321015548,3.1990464401294525,3.220638541852263,3.196760806227563,-0.02387773562469997,7.3937424797202675,4.672235411265509,-2.721507068454758,2.6048280132020976,0.003573152281484359,0.1323919620397187,0.004565240070335127
224-223@62j-sh4-45f,Middle 40% baseline-flow POIs,110.0,58.0,-52.0,-47.27272727272727,6.0,58.0,-52.0,26,28,2,2,0,26,12.94586686769405,15.127223537830853,2.181356670136802,1.2912626783751098,0.0,0.8900939917616931,0.07790559536202865,0.08389833346680008,0.07790559536202865,54.51990989242351,32.428878550023086,-22.091031342400427,3.823697821964047,27.54433713764014,0.49563554447657737,0.5591185956900531,0.0634830512134757,3.2662196396786674,3.444770867754161,3.3445121278859555,-0.10025873986820555,4.791691649373601,4.0320233046062635,-0.7596683447673378,13.634752125424086,0.01870336368370931,0.8979187778702001,0.032068527781078576
225-222@62j-rz2-yd9,Middle 40% baseline-flow POIs,108.0,169.0,61.0,56.481481481481474,70.0,9.0,61.0,22,41,19,19,0,22,15.710182230393043,27.909382157478703,12.19919992708566,12.461871303410923,0.0,-0.2626713763252617,0.2975414616362356,0.5545090875948028,0.2975414616362356,77.42027250553892,116.7813386747962,39.361066169257285,46.93527130623923,6.482605789663885,0.7168543750512865,0.6910138383124037,-0.025840536738882758,3.175594470790457,2.8687662514011065,2.992397276100265,0.12363102469915832,4.644835216659665,5.2286489887585015,0.5838137720988366,-13.010985934694316,-0.017847717331542272,-0.7281883994989384,-0.017760692670705815
222-222@62j-t2b-5zz,Middle 40% baseline-flow POIs,100.0,200.0,100.0,100.0,126.0,26.0,100.0,25,58,33,33,0,25,18.64269187949775,40.78742367381822,22.144731794320467,22.013767972934858,0.0,0.13096382138560558,0.3818057205917322,0.8857892717728187,0.3818057205917322,74.57076751799102,141.98949249724078,67.41872497924976,86.16382321970215,19.440478073327586,0.74570767517991,0.7099474624862039,-0.035760212693706106,3.202059706951594,2.4503850834273364,2.9065876098721315,0.4562025264447951,3.7507144946002615,3.252742528410768,-0.49797196618949346,-46.34621472934704,-0.06357505449841844,-2.8814332747469122,-0.049679884047360554
zzw-222@62j-sz6-3wk,Middle 40% baseline-flow POIs,84.0,110.0,26.0,30.952380952380953,39.0,13.0,26.0,20,33,13,13,0,20,14.008409381378668,21.653133735223907,7.644724353845239,7.874224173230847,0.0,-0.2294998193856056,0.23165831375288604,0.38223621769226196,0.23165831375288604,58.802090318723316,72.97592806257278,14.173837743849461,24.055216166200193,9.04421199290946,0.7000248847467062,0.6634175278415707,-0.0366073569051355,3.3493959762825787,2.9782182925295104,3.1071659661084325,0.12894767357892212,4.117021339412803,3.888859901785216,-0.22816143762758712,-18.990584601418256,-0.02605018463843382,-0.8938228646243569,-0.027085541352253238
zzw-222@62j-ptr-389,Middle 40% baseline-flow POIs,82.0,87.0,5.0,6.097560975609756,14.0,9.0,5.0,12,14,2,2,0,12,7.469521993146701,9.09519591471053,1.6256739215638287,1.593815309288817,0.0,0.03185861227501097,0.11611956582598777,0.13547282679698572,0.11611956582598777,50.3354228518623,53.89700905487889,3.5615862030165957,9.269734472178307,5.926642080547694,0.6138466201446622,0.6195058512055044,0.005659231060842207,3.033478994757417,3.25261786995999,3.2458968148995107,-0.006721055060479486,6.651594237483309,4.247425385310312,-2.4041688521729965,1.6188217772918312,0.0022206060045155433,0.025677910918155855,0.0018341364941539897
zzw-223@62j-r5v-kcq,Middle 40% baseline-flow POIs,78.0,95.0,17.0,21.794871794871796,29.0,12.0,17.0,19,27,8,8,0,19,12.42256497213236,18.529160832535656,6.106595860403296,5.741643680875809,0.0,0.3649521795274886,0.2261702170519739,0.32139978212648923,0.2261702170519739,51.07159646262298,65.3777529429845,14.306156480361523,20.92713861687057,7.889372427975021,0.6547640572131151,0.6881868730840474,0.03342281587093221,2.792255544735378,3.095134715872568,2.998084600899936,-0.09705011497263216,5.831515060186441,3.4067461836597888,-2.4247688765266524,12.916168204315007,0.017717651857770928,0.3974126229756536,0.014718986036135319
222-222@62j-rgz-n5z,Middle 40% baseline-flow POIs,65.0,122.0,57.0,87.6923076923077,72.0,15.0,57.0,15,33,18,18,0,15,9.770036984501955,21.894701283014328,12.124664298512373,12.041555710405191,0.0,0.08310858810718158,0.3674140696518901,0.8083109532341582,0.3674140696518901,42.61996290958969,81.19159107724315,38.57162816765346,47.9904330236655,9.66576591919205,0.6556917370706106,0.6655048448954356,0.00981310782482503,3.064799531320186,3.1229780498928457,3.0780810274386146,-0.044897022454231106,8.221485058239344,4.060226274568611,-4.161258783670733,3.3172971505549262,0.004550476201035564,0.1618206267143818,0.004903655354981266
227-222@62j-shr-wp9,Middle 40% baseline-flow POIs,56.0,48.0,-8.0,-14.285714285714285,13.0,21.0,-8.0,14,17,3,3,0,14,9.414483729886134,11.273507249263076,1.859023519376942,1.9826365163437758,0.0,-0.12361299696683437,0.10935432466923188,0.13278739424121014,0.10935432466923188,37.65793491954453,31.285493360515744,-6.372441559028786,8.443401381992516,14.45203169988869,0.6724631235632953,0.6517811116774114,-0.020682011885883922,2.9962497474649936,3.0698828799056623,3.1029434381658625,0.03306055826020016,4.775861968759962,4.178981981654958,-0.5968799871050043,-7.6722474219374135,-0.010524344886059552,-0.1667104708995779,-0.009806498288210466
zzw-222@62k-pc7-ckf,Bottom 50% baseline-flow POIs,54.0,107.0,53.0,98.14814814814815,60.0,7.0,53.0,13,34,21,21,0,13,9.587105185986742,22.921924974187736,13.334819788200994,13.435557005137339,0.0,-0.10073721693634596,0.39220058200591157,1.0257553683231533,0.39220058200591157,39.835587817237155,73.02368405841943,33.18809624118228,38.94045103335573,5.287219317426313,0.737696070689577,0.6824643369945741,-0.055231733695002894,3.292529919404361,2.680764747279178,3.042490995215311,0.36172624793613295,4.809320874334471,7.038441674958195,2.2291208006237238,-40.74736487198348,-0.05589487636760422,-1.8623250754762635,-0.054774266925772454
