budget,f_last,distances_last,social_last,social_weight_last,time_s,poi_cross_income_copresence,visit_level_cross_income_probability,delta_poi_cross_income_copresence_pp,delta_visit_level_cross_income_probability_pp
0.64,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,423.6758279800415,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.65,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,426.9889135360718,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.66,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,426.62505078315735,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.67,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,427.0083065032959,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.68,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,428.1659662723541,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.6900000000000001,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,424.3173885345459,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.7000000000000001,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,426.19002985954285,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.7100000000000001,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,427.84495067596436,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.72,-121926.31852209553,23111.099192909853,1014.7038854510259,0.64693470201469,424.62855768203735,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.73,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,425.720027923584,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.74,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,424.27683782577515,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.75,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,424.94606471061707,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.76,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,424.31455302238464,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.77,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,426.57858896255493,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.78,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,427.4041049480438,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.79,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,427.59546756744385,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.8,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,426.69114089012146,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.81,-121926.31852209553,23111.099192909853,1014.7038854510259,0.64693470201469,426.8069477081299,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.8200000000000001,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,425.4117751121521,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.8300000000000001,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,426.1583876609802,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.8400000000000001,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,426.7334234714508,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.85,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,426.45999026298523,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.86,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,425.60849237442017,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.87,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,424.89518666267395,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.88,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,424.62723207473755,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.89,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,425.9322476387024,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.9,-121926.31852209555,23111.099192909853,1014.7038854510259,0.64693470201469,432.0492377281189,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
0.91,-121926.31852209556,23111.099192909853,1014.7038854510259,0.64693470201469,426.55126786231995,0.64693470201469,0.6469347020146906,1.09149929829363,1.0914992982936966
