cbg,baseline_structural_contrib
250092532012,0.6835106597348737
250092532023,0.6602481999669285
250092532024,0.7128356688135107
250092532031,0.5520782334147171
250092532032,0.48119802573214676
250092532041,0.5337024096634433
250092532042,0.5843227263887429
250092532043,0.5493041102009676
250092532051,0.4607079715232829
250092532052,0.49446658191072357
250092541001,0.5644064304896868
250092541002,0.6313403109909185
250092541003,1.1385673052203318
250092541004,0.5640680393413071
250092541005,0.4725131715997275
250092542001,0.6812390425829671
250092542002,0.6357261413821826
250092543011,0.4880219693481094
250092543012,0.4715992648936014
250092543021,0.5018435050028798
250092543022,0.47843467646488036
250092544011,0.5442761598150021
250092544021,1.20454532539233
250092544022,0.5675776640720039
250092544023,0.5060216881641376
250092544024,0.5467755646355501
250092544031,0.5175462212748138
250092544032,0.48526763121430316
250092601001,0.7709338825257206
250092601002,0.8005580297359232
250092602001,0.7653115794820136
250092603012,0.72036796382393
250092603013,0.6855237227182829
250092604022,0.6944073328697065
250092605001,0.6901617804621385
250092605002,1.8503228609050788
250092606002,0.6385595115688283
250092607001,1.4925549166025744
250092607002,0.6991193830804397
250092608001,0.7643710284264302
250092609001,0.6960471644749779
250092609002,0.7281158636982046
250092609003,2.340298113205713
250092610002,0.6961234946174557
250092610003,0.6485398359240078
250092611012,0.7016557245957072
250092611013,0.6579725831447178
250092621001,0.7486278075077614
250092621002,0.6554723605961864
250092621003,0.7348047842478816
250092631003,0.6429786706526528
250092651012,0.6232840202623919
250092651021,0.6022076601064916
250092661001,0.6023166092728889
250173102002,0.7139298243755485
250173103002,0.7639915703026656
250173103003,0.762437214141936
250173106021,0.6111564610164092
250173106023,0.730057201883047
250173106024,0.7061957980125696
250173111002,0.7223359166730705
250173112001,0.7954367400614395
250173112002,0.7507316804115793
250173113001,0.7473601941377532
250173113002,0.7221125256589904
250173114003,0.7462670274337387
250173116001,0.6849795256769662
250173116002,0.7221683783983648
250173116004,0.7276424502184853
250173118002,0.7352666738747962
250173119002,0.7906256849552744
250173120002,0.7511777561794853
250173122001,0.7297197207148192
250173123003,0.7078987968901452
250173125013,1.407224712828059
250173141013,2.1022542941964657
250173142001,0.727334831404105
250173142002,0.7240564546005637
250173142003,0.7143159843136893
250173143011,1.400681945496795
250173143013,1.2176799522146253
250173143015,0.6720407822149239
250173154011,0.6228875069718363
250173154022,0.6168646638112193
250173155005,0.6004030359035237
250173162022,0.5154033859572079
250173163005,0.5985504923622382
250173164004,0.5780759541706375
250173165004,1.4320685209348882
250173171011,0.6754130606417716
250173171021,0.679318054277278
250173173011,0.6954974957558671
250173173021,0.6519744203481562
250173181004,0.5501144612457967
250173223002,0.7314066735966689
250173281002,1.2502535796781737
250173311022,0.5987569334814504
250173311024,1.0136079986046185
250173321001,0.48823862788166594
250173321002,0.44548419396359373
250173323001,0.4484559411853878
250173323003,0.7076473484280734
250173323004,1.2526801824088583
250173331001,0.6940281426539275
250173331003,0.5479755836588884
250173331005,0.681081172929082
250173332001,0.5548849505625291
250173332004,0.5964196397906151
250173333001,0.7244114996976787
250173333002,0.6370207537424044
250173333003,0.6570119824351082
250173334002,0.5982103054530776
250173334003,0.5142369965636324
250173334005,0.6075214442582964
250173335012,0.5768270243863928
250173335013,0.5929728112031609
250173335021,1.4655549726789003
250173341001,0.5299782025457818
250173341002,0.6687347779653909
250173341003,0.4788124972060861
250173342001,0.4910041093284815
250173342002,0.5759443838757099
250173342004,0.5931782240060972
250173343001,0.4563696686381187
250173343002,1.0529099325210038
250173343003,1.1934128147142897
250173343004,0.5036525809006
250173344001,0.414467811094515
250173344002,0.5949742109170012
250173344003,0.6544358468688674
250173344004,0.5231908336677871
250173351002,0.5578602669736151
250173352001,0.4968235968842861
250173352002,0.5588374071762681
250173353011,0.6367555101656177
250173353012,0.6595972216789957
250173353021,1.255870936542497
250173353022,0.558507395358592
250173353023,0.5917668458957499
250173354001,0.5852605052485191
250173354002,0.6294068782350044
250173361002,0.6895694011189963
250173361003,0.5310009520343903
250173363001,0.5595726287225419
250173363003,1.164839718567029
250173363006,0.6131482993256692
250173364021,0.6623682595906888
250173364022,0.6785339882909388
250173364023,0.7006826588811292
250173364024,1.2859649135989915
250173371011,0.5769562070915188
250173371022,1.308212661690935
250173372012,0.49159029716973646
250173372021,0.5198735216176049
250173373001,1.316900506061887
250173373002,0.5465632096194238
250173373003,0.6594030369549606
250173381001,0.4333134409325726
250173381002,0.552373904013419
250173382001,0.5573722708119799
250173383001,0.9906449538555332
250173383002,0.5524014917186814
250173383003,0.5723004279672184
250173384001,0.8818294579801075
250173384002,0.38548246160986077
250173384004,0.46055473458862595
250173385001,0.4409937754723855
250173385003,0.3893157878902893
250173392006,0.5870788216605818
250173400002,0.6762736298561574
250173411013,0.651653543242156
250173411021,1.4445858658298443
250173414002,0.7023849855198552
250173415003,0.721303417306401
250173415004,0.7175033613896837
250173415005,0.7331345089878376
250173416003,0.6619251327094469
250173418001,0.7031964221782889
250173422011,0.732571130808003
250173422012,0.7371262823749121
250173503001,0.6601204111187384
250173513001,0.659743874480532
250173547001,0.4794533000802341
250173563003,0.47763938834544173
250173564005,0.5418714078758802
250173564006,0.45292975944847413
250173564007,0.519883816569617
250173564008,0.5225243216393693
250173567011,0.5388104460421081
250173573002,0.6121665735077932
250173581003,0.39983408777272433
250173584002,0.569377517803827
250173584003,0.49462615029400436
250173584004,0.43961460420179044
250173585001,0.4539661773661813
250173586004,0.6857491529025816
250173587002,0.3969431744068671
250173652013,0.4883271237880191
250173661001,0.4917877588227908
250173661004,0.5527254515550046
250173662012,0.5413255204971481
