rank_pct,dev_no_F_plot,dev_reg_F_plot,dev_no_F_raw,dev_reg_F_raw,contrib_F_raw,changed_Hno_Hreg_raw
72.09302325581395,3.7,3.7,5.0,5.0,0.0,2.0
72.67441860465115,4.0,4.0,3.0,3.0,0.0,1.0
73.25581395348837,3.9,3.9,3.0,3.0,0.0,2.0
73.83720930232558,4.2,4.2,3.0,3.0,0.0,2.0
74.4186046511628,3.7,3.7,3.0,3.0,0.0,1.0
75.0,3.8,3.8,6.0,6.0,0.0,4.0
75.5813953488372,3.6,3.6,3.0,3.0,0.0,1.0
76.16279069767442,3.6,3.6,6.0,6.0,0.0,1.0
76.74418604651163,3.9,3.9,1.0,1.0,0.0,1.0
77.32558139534885,3.9,3.9,5.0,5.0,0.0,3.0
77.90697674418605,4.1,4.1,3.0,3.0,0.0,1.0
78.48837209302324,3.8,3.8,3.0,3.0,0.0,2.0
79.06976744186046,3.8,3.8,6.0,6.0,0.0,1.0
79.65116279069767,3.5,3.5,3.0,3.0,0.0,1.0
80.23255813953489,3.7,3.7,5.0,5.0,0.0,2.0
80.81395348837209,3.5,3.5,3.0,3.0,0.0,1.0
81.3953488372093,3.6,3.6,3.0,3.0,0.0,1.0
81.97674418604652,3.6,3.6,3.0,3.0,0.0,1.0
82.55813953488372,3.0,3.1,3.0,3.0,0.0,2.0
83.13953488372093,2.7,2.9,3.0,3.0,0.0,1.0
83.72093023255815,2.2,2.5,4.0,4.0,0.0,3.0
84.30232558139535,1.9,2.3,3.0,3.0,0.0,1.0
84.88372093023256,1.6,2.1,0.0,1.0,-1.0,1.0
85.46511627906976,1.3,1.9,0.0,1.0,-1.0,1.0
86.04651162790698,1.0,1.7,0.0,1.0,-1.0,1.0
86.62790697674419,0.7,1.5,0.0,1.0,-1.0,1.0
87.20930232558139,0.3,1.2,0.0,1.0,-1.0,1.0
87.79069767441861,0.0,1.0,0.0,1.0,-1.0,1.0
88.37209302325581,0.0,1.0,0.0,1.0,-1.0,1.0
88.95348837209302,0.0,1.0,0.0,1.0,-1.0,1.0
89.53488372093024,0.0,1.0,0.0,1.0,-1.0,1.0
90.11627906976744,0.0,1.0,0.0,1.0,-1.0,1.0
90.69767441860465,0.1,1.2,0.0,1.0,-1.0,1.0
91.27906976744185,0.1,1.3,0.0,1.0,-1.0,1.0
91.86046511627907,0.1,1.4,0.0,1.0,-1.0,1.0
92.44186046511628,0.1,1.5,0.0,1.0,-1.0,1.0
93.02325581395348,0.1,1.6,1.0,3.0,-2.0,2.0
93.6046511627907,0.1,1.7,0.0,2.0,-2.0,2.0
94.18604651162791,0.5,2.2,0.0,2.0,-2.0,2.0
94.76744186046511,0.5,2.3,0.0,2.0,-2.0,2.0
95.34883720930233,0.5,2.4,0.0,2.0,-2.0,2.0
95.93023255813954,0.5,2.5,0.0,2.0,-2.0,2.0
96.51162790697676,0.4,2.4,4.0,6.0,-2.0,4.0
97.09302325581395,0.4,2.5,0.0,2.0,-2.0,2.0
97.67441860465115,0.4,2.6,0.0,2.0,-2.0,2.0
98.25581395348837,0.4444444444444444,2.6666666666666665,0.0,2.0,-2.0,2.0
98.83720930232558,0.5,2.75,0.0,2.0,-2.0,2.0
99.4186046511628,0.5714285714285714,2.857142857142857,0.0,3.0,-3.0,3.0
100.0,0.0,2.3333333333333335,0.0,3.0,-3.0,3.0
