,24j-223@62j-psr-vcq,222-222@62j-srj-tgk,222-222@62k-2jw-bp9,zzw-222@62j-rg6-kj9,224-222@62k-pjg-575,224-223@62j-sh4-45f,zzw-222@62k-p2d-9fz,zzw-222@62j-pvd-whq,zzw-222@62k-pc7-ckf,222-222@62j-t54-8gk,222-222@62k-2b5-wp9,222-222@62k-pbs-m6k,zzy-222@62j-sf9-qzz,225-222@62j-pjj-nbk,222-222@62j-t2b-5zz,224-222@62j-wgx-ndv,zzw-222@62j-qst-87q,22j-222@62j-sk3-jn5,222-222@62k-r96-syv,223-223@62j-sg9-vzz,223-222@62k-rcm-nwk,227-222@62j-shr-wp9,228-222@62k-pc7-d5f,222-222@62j-rk3-rtv,223-224@62j-sj2-snq,zzw-222@62j-wq5-ygk,23q-222@62j-sj4-nqz,zzw-222@62j-pst-2c5,zzw-222@62j-x3r-gzf,23k-223@62j-shx-bc5,225-222@62j-rz2-yd9,zzw-222@62j-sz6-3wk,225-222@62j-szd-jqf,222-223@62j-sjh-6kz,zzw-222@62k-fk7-ygk,222-222@62j-szw-wp9,zzw-222@62k-2kw-dy9,222-222@62j-sxz-9xq,zzw-223@62j-r5v-kcq,226-222@62j-sj7-qj9,222-224@62k-nyw-4gk,227-222@62j-sgt-v9f,zzw-223@62k-ns8-2ff,222-222@62j-stv-xh5,zzw-222@62j-sgx-mc5,zzw-222@62j-ptr-389,23v-222@62k-pc7-8qf,zzy-222@62j-ssg-n3q,222-222@62j-rgz-n5z,226-222@62j-rk3-835,222-222@62j-shb-t9z,222-222@62j-sx7-xwk,223-224@62j-sj4-68v
250173506001,22.393822317250887,25.5736413344831,77.86777284444584,60.92977914679953,16.625343322293187,8.090671367796126,38.72849035877616,27.790901525860015,37.10928612679388,30.15699665499362,78.3251392884332,45.69885213630041,8.844692614269553,44.015819675580104,15.109009866404756,77.10471751683463,37.4407074845285,2.5360861848509275,34.92467187047711,10.181081005935962,30.88035585668508,13.849660580074362,36.655367641905514,33.401453852503366,4.327883429196423,64.69058818686273,7.670480640914469,25.939343169853995,101.29781840654442,7.1103998509657504,41.62680155135615,5.063644332982746,7.20216153255889,10.090809835861371,41.311510877047716,16.959745670290243,76.05501234811479,10.108290243349925,21.032930052925572,7.901858215800043,44.57112850171458,16.388898373861615,30.622058969313436,14.902368065133425,13.906929312902284,23.038237901167392,37.41313842573297,13.313043902821988,34.173024480499954,34.110826109395575,7.106973844851593,29.84948513042212,7.553329815876056
250092105004,6.0111323204717095,42.13861886908146,84.90897807825301,56.39443283110844,33.6211991537463,25.25203125671641,54.21704452499235,10.71099070232214,48.33917157502859,31.22895989867567,82.70327474114052,55.30237589079031,17.341127975883627,27.500318928377112,5.946304431789198,61.90365372322442,42.81783732816117,17.461757709498187,51.9172831136617,24.454770754560563,47.67290803079147,29.75811057071162,48.06321441939594,25.626349637516498,19.681779370334507,51.35546600953851,19.76512152520579,8.80135644730347,88.89305327429507,18.588819720867395,30.829357613320298,12.22492284581862,10.056468193252314,23.499898990813893,45.907629883965086,0.7928886479694495,81.22302789006119,7.067726936528052,6.883603261799498,16.26837406382143,61.545614028320244,30.951392589004293,43.45136227918936,11.970987370386343,26.626046223910834,6.365369562601333,48.668998243287106,30.413218337091948,28.4817531057697,27.00556353542492,24.15255268135653,22.235263153161554,21.332876375773367
250250921015,28.498306092235207,28.247825592172074,64.72232339022733,74.10274918484947,14.432025627750381,12.769936968524897,29.36785659964542,34.34553260820001,24.205418335416127,43.210858117803916,65.57415426604966,32.55630141551402,21.963639539079356,48.02665361390523,20.41396503222898,87.153469925703,25.03821315154769,10.818031313440658,34.61453372477897,3.9512354933111236,32.00951435802054,8.154438446014867,23.801803001897706,46.059527611000135,8.90714169490517,75.97610197484606,6.022521980775762,32.91919684028576,113.13333874793214,7.100602579116933,53.71516446768167,15.014067095142813,17.83747621112964,3.223143238012991,53.435252005383745,25.45093749493037,63.15334114962223,19.59734850631069,25.74807422500808,9.015882671973573,39.19610745656823,6.5687289315851665,18.37484463426372,27.42636530067584,1.4870339482067914,31.624272804297124,24.519913422971,13.346562540589316,47.152931191730566,46.897836720560285,10.86780441862626,42.45189235267907,5.627466467615212
250250507003,19.591887159380697,31.402894520192135,72.00520757109327,66.77214827557964,19.687215149164725,13.379755181742294,38.34450743354858,25.423698709645496,32.986420941191085,36.97212817414599,71.60348838422102,40.73889884930662,15.989632808577278,40.084926403133515,11.458885991244921,77.88049849221733,30.651297692116785,5.734585860641878,39.682375746801135,8.835407603184393,36.19631434229878,14.589571261517072,32.6424446727514,37.68521261350894,6.270728263854124,66.80705683609347,4.051223301821173,23.887314518467086,104.07739655503246,2.9838552801441653,44.8748672467127,6.7363979148108974,9.270217486236193,7.676934815412981,48.946056633557305,16.177972290995974,69.55181857249183,10.509426360436988,17.167475862037463,0.275188035532548,46.85641486399599,15.087924697834444,27.585438020180973,19.264098166132676,10.622688794689092,22.36811141821547,33.310206992887174,17.124640793818358,39.215982688465935,38.66236869595929,11.501357790226367,34.058238152408066,5.99122018238717
250251011022,31.26812595104157,25.746276977734887,64.47040568675031,74.77784344627123,11.691239490477017,11.73074684219892,26.58837487002857,37.114869091725765,23.068454669429972,43.528627345293096,65.96472691071364,31.88654410095903,22.557489349577942,51.0741856426756,23.144009118374615,89.50615907487224,25.985816079964938,12.010690129505937,31.667955040310865,3.8984300803312704,29.238862653225034,5.402542666916974,22.598352405406793,47.421691852614465,9.774456629584629,77.98111276051517,8.004690291246133,35.62652323407917,114.9591837199924,9.176824482469453,55.38881040020652,16.791966190226358,19.63985760608587,4.327487903405901,52.984872405293586,27.854716813085357,63.37690317753975,21.692556493090017,28.628246439388136,11.496183821106472,36.0600031857165,3.4655755603282574,16.5991783738051,28.821804535467837,1.7758749660997797,34.08894374627126,23.36756119664299,11.116840829510911,48.25067650498322,48.169808711636996,10.095600777894438,43.8448505963802,6.834485119724553
330150570003,81.29878951748893,100.8878341768628,165.36017045176152,34.549512905112515,103.04850088716712,94.92697646620691,126.69363113282407,77.60678531958902,126.81001797139545,63.8751750084989,162.804125389164,134.8544124962097,81.88106145167188,81.24937559571735,86.40714941206629,41.612404474524716,123.2730664504126,91.94802592518195,110.684476560168,100.03588095268726,105.8578659911901,103.0499619072325,126.39623576276266,56.54668545981288,94.1553193516423,34.788574084242626,96.5993069842159,77.4516485081097,22.720795438818396,95.58301180916617,49.638599400568665,87.67201285964128,84.91984224831593,99.78593727117186,65.46324483061632,79.89806856650078,161.5412346684628,83.75379811062423,84.7466119588955,94.31145552586742,126.52726174618869,106.1637207432935,120.4883795681374,75.18198599060634,103.57825784878816,75.3603046313239,127.12337039066276,99.77588140600659,55.84403166280658,55.75963102438284,95.44474016046986,60.1549092130245,97.20164164887613
250235117014,52.80903699338291,40.97486499209717,41.54972405500165,99.62547940330465,29.62635453566761,35.37931225764983,17.017954319045774,58.43878519280197,2.7258193400432824,68.09618508077844,46.159525232953406,9.191491515592032,47.51582489113868,68.91861811591686,45.28602527926562,112.40785868021001,18.663272110972176,36.994563066771505,40.28668503871151,28.949609209685228,41.02667969977914,26.914357661102365,2.7888117966694774,72.40198124319808,34.81566304523935,102.05707690442387,32.41661184727207,57.38316925340697,139.3936907919504,33.48193105997191,80.09487111640273,41.40623555809962,44.22164610960047,29.154461929385278,75.94168784675306,51.1252864260546,42.748537299532465,45.82143319229327,49.54345893023697,35.08844567719819,32.945135901964335,23.19552561006236,8.908834658426247,53.76959414595729,25.367451123649577,57.0215254771852,2.4163493078589844,31.880947680178654,73.30211244900575,73.1899815461263,34.31555252707599,68.80612583835527,31.73877677053882
250250603013,23.73496751611333,30.131151261054125,68.01044136419831,70.67307552477523,17.20354812371802,12.85995249242846,34.108354244728034,29.583493932159133,28.47481703164191,40.33027721689041,68.1011846209203,36.39753869391571,19.04445807013672,43.57304363797362,15.633675745716396,82.39334536981603,27.179072006786043,7.744111874636583,37.53090803976923,5.584705840033956,34.460104164300446,11.39017906002874,28.118194147165813,41.99203942163447,6.7026055243960885,71.37046125031287,2.7192657456804614,28.137198256374866,108.62445512723923,3.2031826190278636,49.357028237285405,10.84434697745965,13.570432011823168,4.159753514815777,51.5210104466488,20.69794004514765,65.89787330311175,15.043723005883315,21.053008173386893,4.322799827382623,43.395297852825145,11.019259666774696,23.025577384697815,23.43882886602658,6.216229420952006,26.848018521981206,28.796913421244554,15.250535113777286,43.34456458958195,42.91440660628066,10.814518118250401,38.36846678429511,4.135387665765386
250173181001,44.922328164996706,33.84789413967555,110.52860018594987,34.01386484461966,40.21647330311535,34.7130842269482,62.39239459517092,46.88082333374252,68.22864362667224,10.166486681607566,112.21423744967431,77.6203929001865,26.14732654520975,62.95394548552709,42.80781911294926,72.38396678698338,71.6322356529448,36.97520103007185,42.94327255904228,42.88789784699605,38.271135905958445,42.95098385311709,67.64210604230036,25.851180443768882,38.13388519594752,55.895315116532885,41.99073917955523,45.05280024929489,85.37143650881943,41.55081997184808,34.30394669215816,36.05109019572106,34.7671290002755,43.456850599390826,6.870953000800524,38.69048522437947,109.6843778934231,36.204486793307574,46.32933861960451,42.097938650814726,59.25976285929386,46.985826888853865,60.71407646650064,27.504412843632025,46.901043584052246,40.29716951922487,68.48066115022634,37.73449315800333,21.99599220402318,24.664166640162904,36.21672776308903,25.52402110959875,41.316135684695396
250173353013,13.942572915944675,35.00117149100497,86.03331549723094,53.123400327485484,28.092029537193277,19.27175984425845,50.26492797682402,18.173871462248528,47.05854929949764,25.168594654934388,85.03885357988253,54.95320481585779,9.474585396751756,35.2204462975162,10.341062680590266,65.49818770331272,44.29093963363551,12.915389037159613,45.10732114671995,20.952511357917185,40.6624631372814,25.368923989088632,46.68282458097835,23.493338783189106,15.292649078821348,53.32996188341714,16.915761256976793,16.169935888323327,90.26511455160366,15.82853503866447,30.789159907198158,7.929510805612509,5.090464123317499,20.392359762446155,39.13438011043111,7.330521728012056,83.19882100883311,4.269189331182634,14.32291337315683,14.409646566419998,55.939189056854325,27.487706160265695,41.21762774863318,5.626593107698883,24.045856069019745,12.310572086153593,47.378216439633874,24.689489324997343,25.260291335073024,24.521310214101277,18.63959567434715,19.867577170605177,17.873219732678518
330150650103,48.32980068229643,85.26764748183673,131.79561274764208,44.71485161665125,81.46412040823778,72.55760195608917,103.86269297582146,43.03802317828741,98.4166245243156,52.2937070547391,126.99494449525343,104.73449836731216,60.04672126512491,40.657051207088735,55.65839160794416,11.9176800880633,90.60414018383013,66.45945213089244,95.90055757846814,74.24408849080231,91.0200493693678,78.9839751461004,98.17902303304278,37.09046478274333,68.83447981104354,9.721912913792899,69.76157520553978,43.785925193745534,41.75418979251788,68.59225486607052,27.57098446347536,61.216771034932826,58.43521983773202,73.45905580733573,63.431553892258584,50.03195787311771,126.44074753945196,56.10627616178694,51.74992001598235,66.45357596599813,108.85017076493436,80.82406543898063,93.71798781857285,51.24136795162779,76.79086332012392,43.96208479208533,98.74801654242957,78.00361675457816,39.970763592245014,37.72655500808521,72.17496400096981,39.25202346229751,71.09817456846406
250092101002,10.395457837509236,42.543159485398284,91.034187334352,49.97114295907916,35.99148850537092,27.1818687315838,57.91009017756505,12.314462184744471,53.55300512883875,25.89475734726041,89.05902804001961,60.92355801250098,16.44571705112454,29.22058116552575,12.218867838560634,57.78234287539149,48.963651498678544,20.512667852689713,52.79873152891359,28.310104137645627,48.26277392869027,33.0559684389792,53.23041918429229,19.18610937173669,22.883122045467015,46.180034886653715,23.934893578226667,10.377224494176247,83.47692314635013,22.782170172670344,24.72123695816721,15.256694557954733,12.482915446528006,27.58377868386844,40.959909800998034,5.7456431298735575,87.52324804741798,10.222958775028372,12.667980963196312,20.870071845553706,63.84937123103189,34.89038854672965,48.176838321404155,8.447689980655994,31.05063529098665,5.676252548982543,53.87931415128902,32.5964352856521,22.109379255897753,20.57209063652739,26.51708360821547,15.809871994563126,25.171325501825454
250173823002,45.38344678162834,6.944411874898507,75.54870492933101,71.8064381350557,8.3287434194878,14.949969551281585,23.78550091800019,50.812591451529435,33.558737914397824,40.5527355107361,79.88437960221488,43.08724525267772,25.98446760666703,66.88730818225868,37.79087625010625,97.90809525892952,43.31719417954842,23.23640460588078,12.217323350704115,19.87635990733054,9.268328436852197,14.618471952166535,32.882203637008004,50.66808015420108,21.507080253824792,83.99426768524933,23.771879857968777,48.95071749903236,118.8135196618084,24.58544835760385,60.079118359695784,28.0598523955243,30.116139246026492,21.314522189322965,44.1931457712638,39.91285753809748,76.66156047812372,33.090472784530746,43.7751235172779,27.230822151358094,22.96960895246243,17.62221534085408,25.936483246862533,34.87938223275198,21.683009699447073,45.83595420033741,33.719010518550185,10.341903483158946,49.71220758101536,50.7629584870709,16.341225404641,47.64392466489505,21.735898290794527
250235601001,98.82334062027947,88.83372968878666,17.959923955148557,149.8222518015892,79.4554736329838,85.65322437502607,59.39061680668304,103.79427306925791,52.01948014287081,118.36388348615799,30.22911745525588,43.4403373760641,97.61634661907591,109.5849618769516,92.43218006684411,157.50713304227907,56.156587038996776,86.75123710888371,84.74004798503746,78.92483917925081,87.1992206555356,77.18651074291465,52.526212990874505,121.82470757489922,84.70369277456466,149.33949897614264,81.87063693307402,103.24260510502785,187.0082398521087,82.82969290484826,128.8235199512516,90.68098192992139,93.38871220762624,78.9429539308992,125.82429667340575,98.80461892666014,27.34664806446266,94.51419008390744,95.32012661941464,83.96710527693499,70.69771121643089,73.44411391405505,59.1588110008058,103.26319435363088,75.12399590500577,104.06445246222412,51.730266719355775,81.98345088942709,123.09125994589105,122.74846198196778,84.57234897370165,118.19935141797141,81.50470915240255
250250502003,19.359012787224113,31.40840054345884,72.34605444141678,66.43602944188446,19.80272011345997,13.36479556152132,38.60838775870598,25.185443433809787,33.32411608036864,36.661076200157694,71.92918680972441,41.0830817313189,15.70583162113516,39.9235184389365,11.23003347891498,77.5778913784516,30.979161351553167,5.589490345627181,39.75220368059314,9.049113296870939,36.234669843478976,14.773459253169525,32.97884793644821,37.34070331122963,6.255010755823266,66.47995639872907,4.2544550321167245,23.636233135605426,103.74383939090778,3.1503009524779886,44.53384891950175,6.402182262062817,8.926659589279154,7.9177098784931434,48.67582373570281,15.876607191027936,69.88298305377083,10.172291389255747,16.97254827508288,0.5683632045529082,47.03758841738682,15.344375424809403,27.905183795679534,18.922050724274673,10.919155456764477,22.075850255517338,33.64775277944246,17.198437204890872,38.87403655634893,38.318268052707815,11.509680177071788,33.71372697589442,6.154314663919476
250251604002,18.508595325393095,31.01347514128648,74.34374118474229,64.4285296624239,20.10124479706058,12.95157453776542,39.81588695514304,24.27241681590519,35.14372849685221,34.693287282209184,73.93118149403185,43.00771733734283,13.842908763109232,39.50835799765206,10.485840225108381,76.12136224040485,32.98412709122044,4.642258727880006,39.717543826396835,10.058777508078654,36.02024382339845,15.526399567845878,34.78341202766961,35.39111330375838,6.040013009069402,64.79958616746994,5.384669531400963,22.632347559989583,101.99033322309269,4.209511689918509,42.68686007402739,4.393835161794125,6.957152756714076,9.112400095561114,46.84965030246593,14.490330958489514,71.89056143762457,8.422326994195492,16.40816352312551,2.4943130610195947,47.68099652400318,16.555664652348778,29.55136442270385,16.932425811552697,12.430673971415434,20.746967078690503,35.46546390327057,17.264970555555703,36.88283419384078,36.352016743680636,11.26014728469582,31.764675046260287,6.959381751818419
250092131001,18.55753414060176,53.68106250011095,102.93354772741698,42.561426678147996,48.70310173301869,39.80585581874926,71.03979696611066,15.504074093825803,66.57517059741977,27.56544586172879,100.05747891836535,73.65344197418526,27.71733971506447,26.897962680232062,24.204067782562614,44.71622875554149,60.88995878494085,33.64376572680131,64.21583477200294,41.51857605748648,59.46965277344971,46.15062687197695,66.27539229624392,13.618495567333763,36.02183270111113,33.065076269111124,37.151874817295784,14.935008702270078,70.54560979719625,35.996607271890674,13.778147072920909,28.442198481930156,25.634946832200715,40.80338986990864,42.49874644177284,17.93957328642313,98.82618953413079,23.439953307608594,22.000490077694472,34.02715271054093,76.31212337233164,48.09665902614999,61.359998222471575,18.797052686435176,44.259112627573764,12.67751238326246,66.90350509822112,45.255791535474586,17.981207657018334,15.28935111564757,39.354922192435254,12.393916188612351,38.383894044085785
250235104003,49.00502892353622,39.47143283563894,43.71750098440118,96.47834012603683,27.34580373522514,32.46696085842095,18.27459804668651,54.62679614658985,1.3332584683442201,65.06724816859769,47.35527962681455,10.766706544408299,44.28415350852538,65.15246739030623,41.512081072737374,108.6142682630079,16.121704507444196,33.577154367263624,39.75788927868665,25.620966627183517,40.03986929775131,24.054913247173335,1.0297217400633736,68.93246589943298,31.45014745982872,98.34965105651617,28.890567917608305,53.57945443308253,135.72726816102832,29.9317270695265,76.50933826612932,37.8601012165764,40.65919232195236,25.732424828181724,73.39065776514643,47.39431797120009,44.15704100586768,42.18354792349737,45.73222630873911,31.45020687003451,34.01084772430172,20.164661231803894,6.610793609328976,50.29738361562413,21.920712598686197,53.259938030032764,1.644464206673118,29.325346891266147,69.93538712779882,69.75437952017624,31.280471342997117,65.32665719781458,28.313814011975385
