f_values_iter,distances_iter,social_iter,social_iter_weight,diff_iter
-120929.03339081975,21477.714457090296,687.8386614744156,2630.5296014538617,23.916521486202797
-120936.75911358766,21434.456932956517,688.8817607658891,2629.561361877174,22.538855339169288
-120937.45235199027,21480.64969404502,693.3805140808452,2631.200888580047,22.715633383201094
-120948.63890490524,21412.466237062778,695.8525974117523,2629.900767361489,24.413111231467404
-120956.24914599523,21519.2165443837,698.4753963360124,2631.610699569771,23.40939982143925
-120971.70042835164,21397.671683894307,699.6255411513349,2630.225348654176,23.15167380558045
-120988.17324960779,21506.01847779017,703.6662335162342,2632.366143526414,23.15167380558045
-121000.50661734432,21367.694165101315,704.5859335187652,2630.320986360236,24.166091947189145
-121008.17296042384,21481.226250524644,706.0744300847477,2632.1796119965447,23.2379000772445
-121014.12226660154,21394.330679393188,706.4044289141775,2630.5538009643133,23.323807579381203
-121009.65547732338,21471.621871377167,709.2606186798082,2632.41969569159,23.49468024894146
-121049.11486112559,21386.82555169836,710.4157725391208,2630.576865647712,23.2379000772445
-121038.84196297503,21477.987930556264,713.9730451813258,2632.476218734425,23.57965224510319
-121065.97383577948,21452.73825698391,713.9279757376678,2631.0344615832073,23.83275057562597
-121060.73846907943,21498.30342788358,715.1929266341181,2632.692276076825,23.748684174075834
-121074.55672327688,21397.021376822744,715.2110322056636,2630.5776683639588,23.83275057562597
-121065.2713363244,21481.857598927032,717.4041334088897,2633.0366145379953,23.83275057562597
-121098.17517350851,21421.809439324752,717.2215095092115,2631.089620364375,23.57965224510319
-121078.16123155742,21494.346865933647,720.0167234618757,2633.0492745768943,23.53720459187964
-121091.88257752007,21433.190943643167,720.6649306576098,2631.3168832641104,23.53720459187964
-121082.49711772984,21508.90260508072,723.3696971563184,2633.431347758794,23.83275057562597
-121103.8724589563,21415.968655684374,722.6816039499295,2631.23265833133,23.664319132398465
-121088.17564365179,21512.078230615072,724.5711547908666,2633.4483970051815,23.53720459187964
-121103.80619710617,21427.295520622574,725.3134850008262,2631.301435184838,23.748684174075834
-121089.35834566959,21500.893258405784,726.655915679369,2633.4807084646604,23.83275057562597
-121109.27772087713,21410.52821718662,725.3508637683099,2631.5260220200216,23.664319132398465
-121106.42951149208,21504.956809315525,727.3266135347351,2633.780316581079,23.664319132398465
-121122.00319834927,21423.06860664472,727.1012969843007,2631.217418329934,23.83275057562597
-121102.16558288282,21494.13329835723,729.0507349381628,2633.9066141771345,23.664319132398465
-121102.07942004838,21408.827524107364,728.2801204828747,2631.274303765692,23.748684174075834
-121122.11957198748,21509.327899304273,730.9851324269824,2634.1749703350133,23.748684174075834
-121125.19448428092,21413.349716075325,730.8428953899911,2631.605127408604,23.664319132398465
-121124.58806445911,21508.720005999647,733.0647798662272,2634.303005638113,23.664319132398465
-121131.76058128903,21406.425021558556,731.5643666059086,2631.552881051284,23.664319132398465
-121125.40380075932,21490.291569327397,733.8953960815352,2634.2989997068416,23.065125189341593
-121134.56913091763,21403.664588815736,732.9365272637499,2631.806932328923,23.49468024894146
-121127.69122601947,21490.253164134116,735.1042663614794,2634.215758480178,24.49489742783178
-121143.86789565945,21401.174226822444,734.1024559330435,2631.642040364969,24.49489742783178
-121139.0399810258,21495.704472062265,736.279480037633,2634.491741474156,24.49489742783178
-121155.08579566093,21425.220952004576,735.3440094464459,2631.9924026118683,24.979991993593593
-121142.0774636851,21514.798077288484,736.79186805697,2634.764196075446,24.289915602982237
-121138.57650955529,21443.290084203894,736.5730535180066,2632.251513137514,24.24871130596428
-121147.12759615494,21529.34997825983,739.5859817820152,2634.8881842300634,24.24871130596428
-121158.81603955769,21451.070967425876,738.5814658745644,2632.521203444915,24.413111231467404
-121156.64563644472,21530.15806085782,740.1558801365222,2635.2121688691577,24.331050121192877
-121173.74620878027,21451.838874810073,739.2499907389704,2632.707844582349,24.73863375370596
-121166.74568929072,21551.532559454412,741.3929389703749,2635.3742122815493,24.73863375370596
-121170.24148170296,21480.46430009129,740.3646484640168,2632.887132254982,24.49489742783178
-121155.06132259384,21544.323850501023,742.5402236918068,2635.333909269378,24.49489742783178
