poi_id,longitude,latitude,poi_code
223-224@62j-wgv-wkz,-70.77506,43.067929,712110
224-222@62j-pg9-4sq,-70.836136,42.676622,712110
224-222@62j-pkh-sbk,-70.788559,42.63183,712110
224-222@62j-psn-fcq,-70.883525,42.521771,712110
224-222@62j-pss-35z,-70.890758,42.520699,712110
224-222@62j-q5t-xdv,-70.870274,42.806637,712110
224-222@62j-sjv-mrk,-71.126363,42.376925,712110
224-223@62j-sh3-yn5,-71.19476,42.355409,712110
224-223@62j-t65-435,-71.307261,42.645179,712110
225-222@62j-pg9-k4v,-70.83611,42.677144,712110
225-222@62j-qsn-hwk,-70.891966,42.243825,712110
225-222@62j-rjy-fcq,-71.190133,42.775764,712110
225-222@62j-sjv-bzf,-71.114954,42.378212,712110
225-222@62j-sqh-d35,-71.315256,42.273342,712110
225-222@62j-wmz-g6k,-70.977348,42.977947,712110
226-222@62j-qv4-75z,-70.809137,42.242197,712110
226-222@62k-p8z-8jv,-70.937672,42.189738,712110
226-223@62j-shy-4y9,-71.053703,42.363754,712110
227-222@62j-pkh-d5f,-70.779405,42.632713,712110
227-222@62j-ssg-k75,-71.228791,42.308232,712110
227-222@62j-syj-3h5,-70.991814,42.418979,712110
227-222@62j-wcj-v4v,-70.874287,43.189556,712110
227-223@62j-sgy-kj9,-71.129604,42.287069,712110
228-222@62j-psn-guk,-70.891044,42.523695,712110
228-222@62j-qsn-gc5,-70.888407,42.241891,712110
228-222@62j-t2b-92k,-70.948187,42.46319,712110
228-222@62k-p8v-kxq,-70.971496,42.245089,712110
228-222@62k-qr5-m49,-71.562573,42.202236,712110
229-222@62j-pn5-wtv,-70.669244,42.640456,712110
229-222@62j-q64-b49,-70.86322,42.800008,712110
229-222@62j-sgg-dd9,-71.103965,42.350914,712110
229-222@62j-sk5-7bk,-71.160654,42.416041,712110
229-223@62j-rz3-kzz,-71.074572,42.782545,712110
22b-222@62j-sdj-bx5,-71.161019,42.507902,712110
22b-222@62j-swt-nt9,-71.016699,42.594335,712110
22b-222@62j-wq6-snq,-70.948986,42.981733,712110
22b-223@62j-t2c-7t9,-70.94395,42.463014,712110
22c-222@62j-pmd-49z,-70.626025,42.657746,712110
22c-222@62j-scd-h5z,-71.23548,42.377244,712110
22c-222@62j-sj4-dgk,-71.074073,42.354751,712110
22c-222@62j-sjz-6ff,-71.123023,42.39665,712110
22c-223@62j-rcq-w8v,-71.328255,42.88019,712110
22d-222@62j-shy-xkf,-71.051131,42.345674,712110
22d-222@62j-wx7-qcq,-70.753291,43.075159,712110
22f-222@62j-sjv-btv,-71.113936,42.378067,712110
22f-222@62k-26r-djv,-70.667965,41.95909,712110
22h-22d@62k-pd6-wx5,-70.831603,42.122507,712110
22j-222@62j-sjz-975,-71.117915,42.3998,712110
22k-222@62j-psr-sqz,-70.894012,42.521415,712110
22k-222@62j-s2y-pqf,-71.001879,42.833514,712110
22k-222@62j-syx-t5f,-71.083304,42.50588,712110
22k-222@62k-nz5-ks5,-71.400205,42.082777,712110
22m-222@62j-q64-49z,-70.856899,42.804085,712110
22m-222@62j-sh9-dsq,-71.183979,42.357894,712110
22m-222@62j-shy-mrk,-71.049746,42.351711,712110
22n-222@62j-sj2-c3q,-71.097566,42.362264,712110
22q-225@62j-psn-g8v,-70.890776,42.522281,712110
22r-222@62j-shy-c5z,-71.061475,42.375592,712110
22r-222@62j-szs-7qz,-70.935529,42.521045,712110
22r-222@62j-t65-4sq,-71.316005,42.649953,712110
22s-223@62j-sgh-z9f,-71.099631,42.33653,712110
22t-222@62j-t5r-brk,-71.284253,42.592353,712110
22z-222@62j-syc-4y9,-70.984233,42.377678,712110
22z-222@62k-p9p-2tv,-71.002549,42.250578,712110
234-222@62j-sj2-c3q,-71.097543,42.36228,712110
235-222@62j-shx-9vf,-71.064578,42.361442,712110
235-222@62j-shx-ct9,-71.065905,42.358473,712110
239-222@62j-psr-vcq,-70.89719,42.522536,712110
23d-222@62j-szs-7qz,-70.935513,42.521078,712110
23p-222@62j-psr-sqz,-70.894835,42.521339,712110
23q-222@62j-psr-yjv,-70.893556,42.518346,712110
242-222@62j-shx-bp9,-71.058984,42.359318,712110
242-223@62j-shx-bp9,-71.058956,42.359318,712110
24q-222@62j-sk5-3t9,-71.158716,42.416037,712110
24r-222@62j-shy-3h5,-71.052338,42.362644,712110
25d-223@62j-srh-y35,-71.418076,42.28145,712110
25d-224@62j-srh-y35,-71.418098,42.281436,712110
26f-222@62j-shz-3t9,-71.057625,42.356975,712110
26h-222@62j-psr-vcq,-70.896659,42.522143,712110
26h-222@62j-shd-q4v,-71.234041,42.37323,712110
26x-222@62j-psr-sqz,-70.894596,42.520988,712110
29r-222@62j-shx-d35,-71.062371,42.357648,712110
zzw-222@62j-pjc-4vz,-70.692363,42.585198,712110
zzw-222@62j-psr-t35,-70.892577,42.521631,712110
zzw-222@62j-q5j-dgk,-70.930681,42.864837,712110
zzw-222@62j-q5k-75z,-70.92744,42.845048,712110
zzw-222@62j-rx5-st9,-71.122298,43.037485,712110
zzw-222@62j-sct-rc5,-71.335067,42.459039,712110
zzw-222@62j-sd7-h89,-71.311418,42.431072,712110
zzw-222@62j-sg7-rc5,-71.136882,42.330122,712110
zzw-222@62j-sgb-fzz,-71.155568,42.331743,712110
zzw-222@62j-sgc-kxq,-71.162609,42.340759,712110
zzw-222@62j-sgh-xkf,-71.09898,42.338483,712110
zzw-222@62j-shx-cdv,-71.065266,42.36001,712110
zzw-222@62j-shx-g49,-71.06414,42.364786,712110
zzw-222@62j-shy-2rk,-71.054475,42.366334,712110
zzw-222@62j-shy-389,-71.050508,42.363983,712110
zzw-222@62j-shy-r8v,-71.051291,42.352175,712110
zzw-222@62j-sj6-wkz,-71.033073,42.363626,712110
zzw-222@62j-sjm-xqz,-71.035601,42.315605,712110
zzw-222@62j-sjv-bzf,-71.115562,42.378449,712110
zzw-222@62j-sjv-ghq,-71.118932,42.365528,712110
zzw-222@62j-sjv-j35,-71.112106,42.369877,712110
zzw-222@62j-skn-cqz,-71.455171,42.464163,712110
zzw-222@62j-snz-j35,-71.341924,42.457683,712110
zzw-222@62j-sqp-fzz,-71.307397,42.293581,712110
zzw-222@62j-stm-snq,-71.147746,42.579496,712110
zzw-222@62j-t57-6tv,-71.273402,42.649973,712110
zzw-222@62j-t64-fmk,-71.317042,42.642019,712110
zzw-222@62j-t65-6hq,-71.307433,42.647594,712110
zzw-222@62j-wch-6tv,-70.873069,43.194896,712110
zzw-222@62j-wff-ht9,-70.835455,42.933804,712110
zzw-222@62j-wpj-r8v,-71.071639,42.977245,712110
zzw-222@62k-25z-hbk,-70.625366,41.938151,712110
zzw-222@62k-2g3-wff,-70.906979,41.89275,712110
zzw-222@62k-fhv-rx5,-71.513817,42.53781,712110
zzw-222@62k-ns6-dy9,-71.045412,42.102589,712110
zzw-222@62k-nsv-kvf,-71.193066,42.128802,712110
zzw-222@62k-p8f-kfz,-71.101336,42.182985,712110
zzw-222@62k-pjg-4vz,-71.224789,42.278295,712110
zzw-222@62k-r75-bkz,-71.508062,42.369995,712110
zzw-223@62j-pjc-4vz,-70.692356,42.58518,712110
zzw-223@62j-pkx-qvf,-70.771115,42.575406,712110
zzw-223@62j-sd7-h89,-71.311427,42.431075,712110
zzw-223@62j-sjv-j35,-71.112096,42.369868,712110
zzw-223@62j-srx-2ff,-71.30845,42.351468,712110
zzw-223@62k-ns6-dy9,-71.045427,42.102576,712110
zzw-223@62k-nzs-p9z,-71.264295,42.090677,712110
zzw-224@62j-rcq-jsq,-71.314005,42.874814,712110
zzw-224@62j-sjv-j35,-71.112066,42.369906,712110
zzw-224@62j-ss2-f9f,-71.237377,42.371301,712110
zzw-224@62j-wx5-9zz,-70.761753,43.07694,712110
zzw-226@62j-sjv-835,-71.118214,42.374857,712110
zzw-227@62j-psr-sqz,-70.893547,42.521595,712110
zzw-227@62j-sjv-j35,-71.112075,42.369898,712110
zzw-228@62j-shx-f2k,-71.057901,42.35928,712110
zzw-228@62j-sjv-j35,-71.11211,42.369867,712110
zzw-22b@62j-sjv-j35,-71.112067,42.369866,712110
